link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/farmhouse/for-sale/beauvoorde/8630/10815264,10815264,Beauvoorde,8630,435000,HOUSE,FARMHOUSE,3,180,,0,null,null,0,0,19751,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20244578,20244578,Oostende,8400,259000,APARTMENT,APARTMENT,2,114,,0,22,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20174143,20174143,Veurne,8630,90000,HOUSE,HOUSE,3,263,,1,null,null,4,1,752,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20130048,20130048,Veurne,8630,335000,HOUSE,HOUSE,3,,,0,null,66,4,0,195,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/11373266,11373266,Veurne,8630,550000,APARTMENT,APARTMENT,2,141,0,0,19,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20207807,20207807,Veurne,8630,159000,HOUSE,HOUSE,2,149,,0,null,null,2,0,320,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20237802,20237802,Oostende,8400,165000,APARTMENT,APARTMENT,2,80,,0,null,80,0,0,,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/11291021,11291021,Veurne,8630,219900,HOUSE,HOUSE,3,157,,0,null,217,2,0,370,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20165865,20165865,Veurne,8630,325000,HOUSE,HOUSE,4,174,,0,null,450,3,0,581,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11349721,11349721,Oostende,8400,400000,APARTMENT,APARTMENT,2,,,0,null,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/20246383,20246383,Veurne,8630,331000,APARTMENT,APARTMENT,3,107,0,0,12,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20222102,20222102,Genk,3600,495000,APARTMENT,APARTMENT,2,128,0,0,36,null,2,1,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/20244748,20244748,Veurne,8630,310000,APARTMENT,APARTMENT,2,76,,0,null,null,,1,,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20241778,20241778,Veurne,8630,695000,HOUSE,HOUSE,4,400,0,0,,null,4,1,8400,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/11447187,11447187,Veurne,8630,269000,HOUSE,HOUSE,2,185,,0,null,92,3,0,221,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20146751,20146751,Veurne,8630,250000,HOUSE,HOUSE,3,187,,0,null,null,2,0,208,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gouvy/6671/20146096,20146096,Gouvy,6671,129000,HOUSE,HOUSE,1,70,,1,null,null,4,1,0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/farmhouse/for-sale/gouvy/6671/10462691,10462691,Gouvy,6671,1275000,HOUSE,FARMHOUSE,4,,0,0,,null,4,0,19368,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gouvy/6671/20186013,20186013,Gouvy,6671,110000,HOUSE,HOUSE,3,,,0,null,null,4,0,0,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bovigny/6671/20099069,20099069,BOVIGNY,6671,225000,HOUSE,HOUSE,2,120,,0,,null,4,0,1097,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20174454,20174454,Chiny,6810,250000,HOUSE,HOUSE,3,,,0,1,1,4,1,736,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20264739,20264739,Chiny,6810,375000,HOUSE,HOUSE,4,312,,0,30,1000,3,1,1100,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/11295591,11295591,Chiny,6810,295000,HOUSE,HOUSE,3,263,0,0,,null,3,1,1075,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20233817,20233817,Chiny,6810,249000,HOUSE,HOUSE,3,,,0,1,1,2,1,348,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izel/6810/20230351,20230351,Izel,6810,70000,HOUSE,HOUSE,5,,,0,null,null,4,0,0,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/chiny/6810/11416569,11416569,Chiny,6810,199000,HOUSE,COUNTRY_COTTAGE,3,1210,,0,1,1,3,1,1210,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/mansion/for-sale/chiny/6810/20105477,20105477,Chiny,6810,175000,HOUSE,MANSION,0,,,0,null,null,3,1,0,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/chiny/6810/20096769,20096769,Chiny,6810,950000,HOUSE,EXCEPTIONAL_PROPERTY,0,800,,0,100,1300,4,1,2257,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/11052430,11052430,Chiny,6810,150000,HOUSE,HOUSE,3,206,,0,null,null,2,0,206,NOT_INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny-jamoigne/6810/20257815,20257815,Chiny (Jamoigne),6810,320000,HOUSE,HOUSE,4,197,,1,,222,3,0,292,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20249561,20249561,Genk,3600,217000,APARTMENT,APARTMENT,3,100,0,0,,null,2,1,,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/genk/3600/20080411,20080411,Genk,3600,529000,HOUSE,VILLA,5,324,,0,,null,4,0,1718,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20222033,20222033,Genk,3600,324000,APARTMENT,APARTMENT,2,110,0,0,20,null,2,1,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20257811,20257811,Chiny,6810,285000,HOUSE,HOUSE,4,324,,0,,null,3,0,610,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20272331,20272331,Kluisbergen,9690,295000,HOUSE,HOUSE,3,252,,0,35,null,4,1,805,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/huise/9750/20205919,20205919,Huise,9750,549000,HOUSE,HOUSE,4,165,0,0,null,null,4,1,6474,HYPER_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izel/6810/20225557,20225557,Izel,6810,350000,HOUSE,HOUSE,4,,,1,null,null,4,1,2199,SEMI_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20232125,20232125,Zingem,9750,395000,HOUSE,HOUSE,3,204,,0,,null,4,0,592,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20238309,20238309,Zingem,9750,275000,HOUSE,HOUSE,3,175,,0,,null,0,0,473,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/kluisbergen/9690/20232754,20232754,Kluisbergen,9690,545000,HOUSE,MIXED_USE_BUILDING,6,340,1,0,29,null,2,0,2444,,,FOR_SALE
https://www.immoweb.be/en/classified/town-house/for-sale/kluisbergen/9690/20260874,20260874,Kluisbergen,9690,249000,HOUSE,TOWN_HOUSE,2,165,0,0,20,40,2,0,130,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/kruisem/9750/11412924,11412924,Kruisem,9750,245000,HOUSE,MIXED_USE_BUILDING,6,260,0,0,,null,2,0,301,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/huise/9750/20255605,20255605,Huise,9750,450000,HOUSE,HOUSE,3,209,0,0,33,140,4,1,524,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20224793,20224793,Zingem,9750,339000,HOUSE,HOUSE,3,154,,0,,null,0,0,95,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20224789,20224789,Zingem,9750,199000,HOUSE,HOUSE,3,173,,0,,null,,0,600,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20268806,20268806,Koksijde,8670,295000,APARTMENT,APARTMENT,2,75,,0,6,null,3,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/koksijde/8670/20245339,20245339,KOKSIJDE,8670,525000,HOUSE,VILLA,4,185,0,0,41,null,3,1,194,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20030138,20030138,KOKSIJDE,8670,295000,APARTMENT,APARTMENT,2,65,1,0,5,null,2,0,,USA_HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20267827,20267827,Chiny,6810,420000,HOUSE,HOUSE,3,217,,0,1,1,4,1,3434,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20224791,20224791,Zingem,9750,549000,HOUSE,HOUSE,6,350,,0,,null,,0,983,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/20263850,20263850,Oostduinkerke,8670,1045000,HOUSE,HOUSE,5,237,,0,null,null,4,0,1094,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zingem/9750/20224792,20224792,Zingem,9750,280000,APARTMENT,APARTMENT,2,107,,0,,null,0,0,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/jamoigne/6810/11124337,11124337,Jamoigne,6810,250000,HOUSE,MIXED_USE_BUILDING,3,,,0,null,null,3,1,0,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9750/20258299,20258299,Kruisem,9750,362000,APARTMENT,APARTMENT,2,100,,0,18,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/kluisbergen/9690/20230572,20230572,Kluisbergen,9690,595000,HOUSE,COUNTRY_COTTAGE,2,205,0,0,null,null,4,1,26120,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/20229665,20229665,Zingem,9750,275000,HOUSE,HOUSE,3,174,,0,,null,,0,581,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20222907,20222907,Chiny,6810,200000,HOUSE,HOUSE,5,,,0,1,1,2,1,520,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kruisem/9750/11451707,11451707,Kruisem,9750,249000,HOUSE,HOUSE,4,179,0,0,null,null,0,0,451,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zingem-ouwegem/9750/20230973,20230973,Zingem Ouwegem,9750,309000,HOUSE,HOUSE,3,156,0,0,,null,4,0,971,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/kluisbergen/9690/20228263,20228263,Kluisbergen,9690,179000,APARTMENT,APARTMENT,1,95,,0,null,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/chiny/6810/20147576,20147576,CHINY,6810,590000,HOUSE,EXCEPTIONAL_PROPERTY,4,325,,1,,null,3,0,2104,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/genk/3600/20182155,20182155,GENK,3600,1249000,HOUSE,VILLA,7,557,,0,null,null,4,0,2804,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ouwegem/9750/20264611,20264611,Ouwegem,9750,595000,HOUSE,HOUSE,3,266,,0,null,null,4,0,2427,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20235929,20235929,Kluisbergen,9690,259000,HOUSE,HOUSE,4,172,0,0,,null,2,0,510,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/kluisbergen/9690/20207334,20207334,KLUISBERGEN,9690,650000,HOUSE,VILLA,4,290,,0,,null,4,0,643,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/jamoigne/6810/11394352,11394352,Jamoigne,6810,250000,HOUSE,HOUSE,3,,,0,null,null,4,0,1905,,,FOR_SALE
https://www.immoweb.be/en/classified/manor-house/for-sale/kluisbergen/9690/20215087,20215087,Kluisbergen,9690,595000,HOUSE,MANOR_HOUSE,3,235,,1,,null,4,1,2800,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/zingem/9750/20186915,20186915,Zingem,9750,350000,APARTMENT,APARTMENT,3,118,,0,null,null,0,0,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/genk/3600/20270491,20270491,Genk,3600,349000,HOUSE,HOUSE,3,218,0,0,,null,4,1,1371,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/20140696,20140696,Chiny,6810,345000,HOUSE,HOUSE,5,207,0,0,null,null,4,1,2598,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/zulzeke/9690/20268845,20268845,ZULZEKE,9690,555000,HOUSE,VILLA,4,550,,0,,null,4,0,7076,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/chiny/6810/10840202,10840202,Chiny,6810,235000,HOUSE,HOUSE,3,,,0,null,null,2,0,85,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/izel/6810/20177466,20177466,Izel,6810,300000,HOUSE,HOUSE,4,,,0,,null,3,0,541,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/opwijk/1745/20257284,20257284,Opwijk,1745,1295000,HOUSE,VILLA,4,260,,0,null,null,4,1,4035,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/nassogne/6953/11443845,11443845,Nassogne,6953,295000,HOUSE,HOUSE,5,284,0,0,,402,3,1,402,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20180205,20180205,Genk,3600,329000,APARTMENT,APARTMENT,2,142,,0,14,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/zele/9240/20249714,20249714,ZELE,9240,425000,HOUSE,HOUSE,5,458,,0,null,null,3,0,923,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/genk/3600/20244679,20244679,Genk,3600,299000,APARTMENT,APARTMENT,2,104,0,0,,null,3,1,,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/20167743,20167743,Opwijk,1745,265000,HOUSE,HOUSE,3,118,0,0,,null,3,0,329,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/opwijk/1745/20168948,20168948,OPWIJK,1745,885000,HOUSE,VILLA,3,276,,0,20,1000,4,1,2100,INSTALLED,TO_BE_DONE_UP,FOR_SALE
